"時点","地域コード","地域","延べ宿泊者数（総数）【人泊】","注記"
"2020年3月","02000","青森県","239880","速報"
"2020年4月","02000","青森県","100110","速報"
"2020年5月","02000","青森県","91890","速報"
"2020年6月","02000","青森県","161940","速報"
"2020年7月","02000","青森県","261150","速報"
"2020年8月","02000","青森県","299400","速報"
"2020年9月","02000","青森県","325510","速報"
"2020年10月","02000","青森県","390640","速報"
"2020年11月","02000","青森県","334260","速報"
"2020年12月","02000","青森県","265930","速報"
"2007年1月","03000","岩手県","325220",""
"2007年2月","03000","岩手県","321100",""
"2007年3月","03000","岩手県","335100",""
"2007年4月","03000","岩手県","309540",""
"2007年5月","03000","岩手県","346490",""
"2007年6月","03000","岩手県","334230",""
"2007年7月","03000","岩手県","341190",""
"2007年8月","03000","岩手県","501300",""
"2007年9月","03000","岩手県","354360",""
"2007年10月","03000","岩手県","427120",""
"2007年11月","03000","岩手県","360770",""
"2007年12月","03000","岩手県","319240",""
"2008年1月","03000","岩手県","297900",""
"2008年2月","03000","岩手県","308040",""
"2008年3月","03000","岩手県","322430",""
"2008年4月","03000","岩手県","267510",""
"2008年5月","03000","岩手県","319100",""
"2008年6月","03000","岩手県","290170",""
"2008年7月","03000","岩手県","306150",""
"2008年8月","03000","岩手県","397510",""
"2008年9月","03000","岩手県","323460",""
"2008年10月","03000","岩手県","359400",""
"2008年11月","03000","岩手県","310610",""
"2008年12月","03000","岩手県","285910",""
"2009年1月","03000","岩手県","303070",""
"2009年2月","03000","岩手県","303900",""
"2009年3月","03000","岩手県","323060",""
"2009年4月","03000","岩手県","278380",""
"2009年5月","03000","岩手県","349480",""
"2009年6月","03000","岩手県","327930",""
"2009年7月","03000","岩手県","349270",""
"2009年8月","03000","岩手県","499120",""
"2009年9月","03000","岩手県","389580",""
"2009年10月","03000","岩手県","394680",""
"2009年11月","03000","岩手県","344820",""
"2009年12月","03000","岩手県","294800",""
"2010年1月","03000","岩手県","314040",""
"2010年2月","03000","岩手県","316940",""
"2010年3月","03000","岩手県","337310",""
"2010年4月","03000","岩手県","314860",""
"2010年5月","03000","岩手県","370490",""
"2010年6月","03000","岩手県","334040",""
"2010年7月","03000","岩手県","358130",""
"2010年8月","03000","岩手県","496320",""
"2010年9月","03000","岩手県","350320",""
"2010年10月","03000","岩手県","421100",""
"2010年11月","03000","岩手県","337800",""
"2010年12月","03000","岩手県","310890",""
"2011年1月","03000","岩手県","426960",""
"2011年2月","03000","岩手県","434670",""
"2011年3月","03000","岩手県","293280",""
"2011年4月","03000","岩手県","501200",""
"2011年5月","03000","岩手県","614800",""
"2011年6月","03000","岩手県","556770",""
"2011年7月","03000","岩手県","637340",""
"2011年8月","03000","岩手県","793580",""
"2011年9月","03000","岩手県","563920",""
"2011年10月","03000","岩手県","547400",""
"2011年11月","03000","岩手県","485150",""
"2011年12月","03000","岩手県","451030",""
"2012年1月","03000","岩手県","489940",""
"2012年2月","03000","岩手県","491170",""
