time	country	variable	value
2010-09-01	Malaysia	Number Of Vessel (Direct Entrance)	40
2010-09-01	Malaysia	Net Tonnages	807210
2010-09-01	Malaysia	Net Tonnages (Direct Entrance)	666875
2010-10-01	Malaysia	Number Of Vessels	53
2010-10-01	Malaysia	Number Of Vessel (Direct Entrance)	33
2010-10-01	Malaysia	Net Tonnages	696303
2010-10-01	Malaysia	Net Tonnages (Direct Entrance)	587940
2010-11-01	Malaysia	Number Of Vessels	56
2010-11-01	Malaysia	Number Of Vessel (Direct Entrance)	35
2010-11-01	Malaysia	Net Tonnages	739354
2010-11-01	Malaysia	Net Tonnages (Direct Entrance)	628685
2010-12-01	Malaysia	Number Of Vessels	70
2010-12-01	Malaysia	Number Of Vessel (Direct Entrance)	39
2010-12-01	Malaysia	Net Tonnages	737629
2010-12-01	Malaysia	Net Tonnages (Direct Entrance)	620453
2010-01-01	Brunei	Number Of Vessels	16
2010-01-01	Brunei	Number Of Vessel (Direct Entrance)	16
2010-01-01	Brunei	Net Tonnages	257099
2010-01-01	Brunei	Net Tonnages (Direct Entrance)	257099
2010-02-01	Brunei	Number Of Vessels	14
