variable	year	city	value
Clothing	2020	Morioka-shi	3357
Shirts & sweaters	2020	Morioka-shi	1143
Underwear	2020	Morioka-shi	1233
Cloth & thread	2020	Morioka-shi	176
Other clothing	2020	Morioka-shi	421
Footwear	2020	Morioka-shi	848
Services related to clothing	2020	Morioka-shi	445
Medical care	2020	Morioka-shi	9824
Medicines	2020	Morioka-shi	2138
Health fortification	2020	Morioka-shi	869
Medical supplies & appliances	2020	Morioka-shi	2000
Medical services	2020	Morioka-shi	4817
Transportation & communication	2020	Morioka-shi	31509
Public transportation	2020	Morioka-shi	1161
Private transportation	2020	Morioka-shi	17412
Purchase of vehicles	2020	Morioka-shi	3729
Purchase of bicycles	2020	Morioka-shi	140
Maintenance of vehicles	2020	Morioka-shi	13542
Communication	2020	Morioka-shi	12936
Education	2020	Morioka-shi	3453
Culture & recreation	2020	Morioka-shi	15659
Recreational durable goods	2020	Morioka-shi	1177
Recreational goods	2020	Morioka-shi	5500
Books & other reading materials	2020	Morioka-shi	2462
Recreational services	2020	Morioka-shi	6520
Accommodation services	2020	Morioka-shi	788
Package tours	2020	Morioka-shi	132
Lesson fees	2020	Morioka-shi	534
Other recreational services	2020	Morioka-shi	5065
Other consumption expenditures	2020	Morioka-shi	32542
Miscellaneous	2020	Morioka-shi	17535
Personal care services	2020	Morioka-shi	3253
Personal care goods	2020	Morioka-shi	3199
Personal effects	2020	Morioka-shi	1648
Tobacco	2020	Morioka-shi	582
Other miscellaneous	2020	Morioka-shi	8853
Pocket money (of which, detailed uses unknown)	2020	Morioka-shi	3596
Social expenses	2020	Morioka-shi	8185
Other goods & services	2020	Morioka-shi	167
Money gifts	2020	Morioka-shi	3696
Other social expenses	2020	Morioka-shi	1391
Remittance	2020	Morioka-shi	3226
(Regrouped) Expenses for education	2020	Morioka-shi	6879
(Regrouped) Expenses for culture & recreation	2020	Morioka-shi	16714
(Regrouped) Intel exchange	2020	Morioka-shi	15525
(Regrouped) Expense (except housing)	2020	Morioka-shi	173991
(Regrouped) Sum of Goods & Services 1)	2020	Morioka-shi	198868
Goods (commodities)	2020	Morioka-shi	117764
Durable goods	2020	Morioka-shi	11649
Semi-durable goods	2020	Morioka-shi	17721
Non-durable goods	2020	Morioka-shi	88394
Services	2020	Morioka-shi	81104
Engel's coefficient (%)	2020	Morioka-shi	25.6
Distribution of households	2020	Sendai-shi	111
Num. of tabulated households	2020	Sendai-shi	103
Num. of persons per household (persons)	2020	Sendai-shi	1.98
Num. of earners per household (persons)	2020	Sendai-shi	0.8
Age of household heads (years old)	2020	Sendai-shi	60.8
Rate of owned dwellings (%)	2020	Sendai-shi	62
Rate of rented dwellings & land (%)	2020	Sendai-shi	27
Consumption expenditures	2020	Sendai-shi	195700
Food	2020	Sendai-shi	56231
Cereals	2020	Sendai-shi	4346
Rice	2020	Sendai-shi	1303
Bread	2020	Sendai-shi	1641
Noodles	2020	Sendai-shi	1144
Other cereals	2020	Sendai-shi	258
Fish & shellfish	2020	Sendai-shi	4660
Raw fish & shellfish	2020	Sendai-shi	2508
Salted & dried fish	2020	Sendai-shi	814
Fish-paste products	2020	Sendai-shi	542
Other processed fish	2020	Sendai-shi	796
Meat	2020	Sendai-shi	4489
Raw meat	2020	Sendai-shi	3469
Processed meat	2020	Sendai-shi	1020
Dairy products & eggs	2020	Sendai-shi	3011
Fresh milk	2020	Sendai-shi	945
Dairy products	2020	Sendai-shi	1471
Eggs	2020	Sendai-shi	596
Vegetables & seaweeds	2020	Sendai-shi	7435
Fresh vegetables	2020	Sendai-shi	4892
Dried vegetables & seaweeds	2020	Sendai-shi	624
Soybean products	2020	Sendai-shi	1009
Other processed vegetables & seaweeds	2020	Sendai-shi	909
Fruits	2020	Sendai-shi	2654
Fresh fruits	2020	Sendai-shi	2387
Processed fruits	2020	Sendai-shi	267
Oils, fats & seasonings	2020	Sendai-shi	2629
Oils & fats	2020	Sendai-shi	273
Seasonings	2020	Sendai-shi	2356
Cakes & candies	2020	Sendai-shi	4546
Cooked food	2020	Sendai-shi	8791
Cooked food with rice, bread or noodles	2020	Sendai-shi	3522
Other cooked food	2020	Sendai-shi	5269
Beverages	2020	Sendai-shi	3791
Tea	2020	Sendai-shi	1023
Coffee & cocoa	2020	Sendai-shi	743
Other beverages	2020	Sendai-shi	2025
Alcoholic beverages	2020	Sendai-shi	2503
Meals outside the home	2020	Sendai-shi	7375
Eating out	2020	Sendai-shi	6941
School lunch	2020	Sendai-shi	434
Charges for board	2020	Sendai-shi	0
Housing	2020	Sendai-shi	20157
Rents for dwelling & land	2020	Sendai-shi	10447
Repairs & maintenance	2020	Sendai-shi	9710
Tools & materials for repairs & maintenance	2020	Sendai-shi	2137
Service charges for repairs & maintenance	2020	Sendai-shi	7574
Fuel, light & water charges	2020	Sendai-shi	17802
Electricity	2020	Sendai-shi	8265
Gas	2020	Sendai-shi	4006
