(UNIT:NO, MT)
Year,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Net Tonnages-Year,Net Tonnages (Direct Entrance) -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Net Tonnages-Jan,Net Tonnages (Direct Entrance) -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Net Tonnages-Feb,Net Tonnages (Direct Entrance) -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Net Tonnages -Mar,Net Tonnages (Direct Entrance) -Mar,Number Of Vessels -Apr,Number Of Vessel (Direct Entrance) -Apr,Net Tonnages -Apr,Net Tonnages (Direct Entrance) -Apr,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Net Tonnages -May,Net Tonnages (Direct Entrance) -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Net Tonnages -Jun,Net Tonnages (Direct Entrance) -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Net Tonnages -Jul,Net Tonnages (Direct Entrance) -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Net Tonnages -Aug,Net Tonnages (Direct Entrance) -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Net Tonnages -Sep,Net Tonnages (Direct Entrance) -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Net Tonnages -Oct,Net Tonnages (Direct Entrance) -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Net Tonnages -Nov,Net Tonnages (Direct Entrance) -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Net Tonnages -Dec,Net Tonnages (Direct Entrance) -Dec
2018,314,92,91,2872627,2821479,5,5,150886,150886,10,10,303896,303896,13,13,391824,391824,7,7,226320,226320,6,6,185553,185553,6,6,185040,185040,6,6,183097,183097,9,9,299778,299778,9,8,288765,237617,10,10,312010,312010,7,7,217911,217911,4,4,127547,127547
2018,315,4810,1652,48522693,23351320,407,153,4197657,2207748,393,146,4100943,2170229,389,130,3893460,1829634,405,132,3806066,1672334,423,144,4080043,2008343,404,134,3498935,1522283,385,144,4166217,2204524,398,133,4396534,2013151,378,130,3626078,1880784,398,135,4171285,1843318,404,126,3873195,1742848,426,145,4712280,2256124
2018,316,91,56,161655,101448,9,5,15443,9439,7,6,13169,11304,8,6,14670,11304,7,5,12805,8497,8,3,14934,6123,9,5,17163,9489,11,6,17867,10362,8,5,12636,8133,9,5,17163,9489,6,5,10626,8811,6,3,10362,5181,3,2,4817,3316
2018,319,2,1,8520,4260,0,0,0,0,0,0,0,0,2,1,8520,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,326,250,101,962084,388718,19,8,73109,30790,21,9,80795,34633,22,8,84638,30790,21,9,80795,34633,24,9,92370,34656,20,8,76952,30790,21,9,80795,34633,22,8,84638,30790,17,7,65469,26947,22,10,84684,38476,23,8,88527,30790,18,8,69312,30790
2018,328,300,134,4630051,1934111,23,13,336229,195285,41,15,727185,247858,18,8,281078,102298,35,16,508507,217747,6,4,79786,55146,24,9,355115,124976,31,14,458026,199180,18,9,315474,147094,18,10,260218,133348,16,7,235880,90676,32,11,487222,171986,38,18,585331,248517
2018,331,1600,547,7615119,2521124,125,46,522615,188146,131,48,648065,226261,139,49,698168,219646,131,45,600860,199385,120,43,610629,218835,127,42,629452,199303,164,52,820429,255963,138,45,684874,215686,140,46,637297,210023,128,45,569051,195638,122,43,537749,187324,135,43,655930,204914
2018,333,3,2,56243,44180,0,0,0,0,0,0,0,0,0,0,0,0,2,1,24126,12063,0,0,0,0,0,0,0,0,1,1,32117,32117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,335,3,1,2949,983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2949,983,0,0,0,0
2018,336,197,81,473777,190630,17,7,33345,15115,10,5,19300,10185,12,6,25300,12650,11,6,20695,11580,19,9,41864,22564,14,7,36980,20147,13,5,32271,12973,15,3,37179,7446,19,5,53663,13497,17,7,40362,13266,25,11,66947,26999,25,10,65871,24208
2018,505,4,3,95482,83465,0,0,0,0,1,1,36052,36052,3,2,59430,47413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,506,3,2,57882,38588,0,0,0,0,0,0,0,0,0,0,0,0,2,1,38588,19294,0,0,0,0,0,0,0,0,1,1,19294,19294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,514,1739,840,1869822,923600,146,72,170021,88886,140,73,146233,81575,180,84,202627,100444,163,74,173100,78614,154,78,153393,79137,148,69,172646,85192,135,64,146737,73152,122,63,124522,65247,140,66,142610,71790,156,71,167046,74551,147,67,159854,68487,108,59,111033,56525
2018,515,5768,2305,85717920,39569798,483,200,7269644,3517875,419,166,5913695,2883331,490,189,7298705,3449452,468,186,7351051,3311564,453,182,6538605,3129952,460,175,7024793,3030229,458,181,6623724,3046789,502,199,7977274,3645202,471,191,7032065,3231735,561,233,7992783,3736731,498,195,7805483,3454032,505,208,6890098,3132906
2018,518,1641,872,1844847,987250,140,71,136026,69374,122,74,122451,76807,134,77,128071,72448,153,76,173351,88204,137,71,151105,81747,135,76,158453,92439,134,71,160185,82990,138,75,166336,86762,128,68,153881,79766,143,74,170172,92128,137,68,150364,77703,140,71,174452,86882
2018,543,15,10,7864,4590,5,4,1316,1167,5,2,2431,298,1,1,149,149,1,1,992,992,0,0,0,0,3,2,2976,1984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,558,1,1,2370,2370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2370,2370,0,0,0,0,0,0,0,0,0,0,0,0
2018,601,42,42,1323126,1323126,6,6,189018,189018,3,3,94509,94509,2,2,63006,63006,3,3,94509,94509,3,3,94509,94509,3,3,94509,94509,6,6,189018,189018,3,3,94509,94509,1,1,31503,31503,4,4,126012,126012,4,4,126012,126012,4,4,126012,126012
2018,607,11,4,28688,10432,1,1,2608,2608,2,0,5216,0,1,1,2608,2608,5,1,13040,2608,0,0,0,0,2,1,5216,2608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
